Year;Month;Species;Tag;Genotype;Population;Type;FM;Collection;collection time;multiple_spawning;spawning;DAFM;sunset;spawning_time;TASS;EPB;EPB_sem;ES;ES_sem;FEC;size;approx
2020;November;A. nasuta;Anas 7.1;NAS7;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.333333333;0.143287826;0.63952;0.012574058;13.60464434;58.4;58.4
2020;November;A. nasuta;Anas 7.3;NAS7;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.681818182;0.166272655;0.66128;0.006840041;40.91070793;61.1;61.1
2020;November;A. retusa;Aret 2.5;RET2;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.375;0.206878982;0.55488;0.002438951;24.31810713;83;83
2020;November;A. nasuta;Anas 4.4;NAS4;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5;0.217028683;0.65275;0.007089907;18.22715937;85.9;85.9
2020;November;A. retusa;Aret 6.2;RET6;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.583333333;0.268629551;;;;91;91
2020;November;A. nasuta;Anas 8.4;NAS8;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;8.25;0.43266392;0.61909;0.004548866;65.09923664;92.1;92.1
2020;November;A. retusa;Aret 10.5;RET10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.875;0.281794628;0.61734;0.007594177;25.48456569;92.1;92.1
2020;November;A. retusa;Aret 6.3;RET6;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.291666667;0.175275835;;;;96.5;96.5
2020;November;A. retusa;Aret 2.4;RET2;Nursery;Nursery;31/10/2020;30/10/2020;;N;08/11/2020;8;18:07:00;22:20:00;04:13:00;10.16666667;0.410369075;0.60819;0.007935208;36.28802088;101.6;101.6
2020;November;A. nasuta;Anas 4.6;NAS4;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.458333333;0.180369655;0.62967;0.007387035;20.54517512;118.8;118.8
2020;November;A. retusa;Aret 3.6;RET3;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.909090909;0.388743625;0.61542;0.004960669;14.15234584;123.9;123.9
2020;November;A. hyacinthus;HYA 72;HYA72;Nursery;Nursery;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;129.1;129.1
2020;November;A. hyacinthus;HYA 72;HYA72;Nursery;Nursery;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;5.652173913;0.173418269;0.61307;0.004547976;36.92224768;129.1;129.1
2020;November;A. nasuta;Anas 2.8.4;NAS2;Nursery;Nursery;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;7.041666667;0.414760131;0.66588;0.006567166;26.36219362;134;134
2020;November;A. nasuta;Anas 2.8.4;NAS2;Nursery;Nursery;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;7.041666667;0.244350416;;;V;134;134
2020;October;A. cytherea;3_4.1;CYT3;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;8.291666667;0.368502486;;;7.603596966;135.1;135.1
2020;October;A. cytherea;3_4.1;CYT3;Nursery;Nursery;01/10/2020;;;Y;12/10/2020;11;17:57:00;;;;;;;9.280875674;135.1;135.1
2020;November;A. retusa;RET 24;RETE24;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.61932;0.006148415;;143.8;143.8
2020;November;A. retusa;Aret 10.2;RET10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;11.04166667;0.532673392;0.65989;0.006740349;24.79521807;149.7;149.7
2020;November;A. nasuta;Anas 10.1;NAS10;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.208333333;0.269050711;0.61937;0.006500405;22.49824232;156.7;156.7
2020;November;A. hyacinthus;Ahya 3.4;HYA3;Nursery;Nursery;31/10/2020;30/10/2020;;N;12/11/2020;12;18:09:00;;;4.565217391;0.206859512;0.65987;0.007102569;;159.3;159.3
2020;November;A. nasuta;Anas 8.1;NAS8;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.791666667;0.39614309;0.60493;0.005468724;67.91122964;159.3;159.3
2020;November;A. retusa;RET 23;RETE23;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;9.333333333;0.641744302;0.54098;0.00606179;31.16925065;159.6;159.6
2020;October;A. cytherea;3_3.1;CYT3;Nursery;Nursery;01/10/2020;;;N;12/10/2020;11;17:57:00;;;4.956521739;0.255208671;0.62622;0.007507278;;160.2;160.2
2020;November;A. nasuta;Anas 2.6.4;NAS2;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;9.333333333;0.402288142;0.62315;0.00697588;43.0961457;160.3;160.3
2020;November;A. retusa;RET 17;RETE17;E2B;Wild;31/10/2020;30/10/2020;;N;07/11/2020;7;18:07:00;22:36:00;04:29:00;;;0.58646;0.005855014;;165;165
2020;November;A. retusa;RET 20;RETE20;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;11.7826087;0.683660226;0.65465;0.005657887;;169.6;169.6
2021;September;A. cytherea;1.5.4;CYT1;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;22:03:00;04:08:00;6.625;0.281124167;0.62858;0.006047016;70.57637372;172.6;172.6
2020;November;A. retusa;RET 26;RETE26;E2B;Wild;31/10/2020;30/10/2020;;Y;07/11/2020;7;18:07:00;22:21:00;04:14:00;;;;;;188.9;188.9
2020;November;A. retusa;RET 26;RETE26;E2B;Wild;31/10/2020;30/10/2020;;Y;08/11/2020;8;18:07:00;22:20:00;04:13:00;13.41666667;0.345345168;0.5761;0.004748018;14.18131199;188.9;188.9
2020;November;A. retusa;RET 26;RETE26;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;188.9;188.9
2020;November;A. retusa;Aret 3.2;RET3;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.041666667;0.227721066;0.61701;0.005016635;40.43684979;190.4;190.4
2020;October;A. cytherea;20_C5;CYT3;Nursery;Nursery;01/10/2020;;;N;12/10/2020;11;17:57:00;;;5.583333333;0.239742277;0.66663;0.008185301;;194.8;194.8
2020;November;A. retusa;RET 18;RETE18;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.5766;0.00360357;43.07745326;199.7;199.7
2021;September;A. cytherea;2.1.3;CYT2;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;22:05:00;04:10:00;8.625;0.488314537;0.5823;0.004242544;29.19085012;222.2;222.2
2020;October;A. cytherea;9_3.4;CYT9;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;7.166666667;0.480287756;0.61841;0.006161379;28.58933728;231.2;231.2
2020;October;A. cytherea;9_3.4;CYT9;Nursery;Nursery;01/10/2020;;;Y;12/10/2020;11;17:57:00;;;;;;;27.91900773;231.2;231.2
2020;November;A. retusa;Aret 1.2;RET1;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;9.291666667;0.332312749;0.61425;0.007066207;41.10819918;243.1;243.1
2021;September;A. cytherea;9.2.2;CYT9;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;21:58:00;04:03:00;6.666666667;0.298951469;0.59737;0.007330949;20.87611225;245.3;245.3
2021;September;A. cytherea;4.3.5;CYT1;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;21:48:00;03:53:00;8.125;0.342161183;0.55573;0.008186552;23.18492518;259.8;259.8
2020;November;A. nasuta;NAS 610;NASE610;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.47826087;0.197509846;0.54327;0.005650017;37.73267077;260.3;260.3
2020;November;A. nasuta;NAS 608;NASE608;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.416666667;0.179740823;0.65142;0.006131674;19.79476994;261.8;261.8
2020;November;A. retusa;RET 25;RETE25;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;9.916666667;0.61064431;0.58066;0.005184365;42.17060901;268.3;268.3
2020;November;A. hyacinthus;HYA 11;HYAL11;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;;;;273.5;273.5
2020;November;A. retusa;RET 22;RETE22;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.5941;0.005977014;34.55889412;280.2;280.2
2020;November;A. hyacinthus;HYA 621;HYAE621;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;5.166666667;0.196589275;0.64143;0.005433813;;290.5;290.5
2020;November;A. hyacinthus;HYA 621;HYAE621;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;V;290.5;290.5
2020;November;A. retusa;RET 21;RETE21;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;12.2173913;0.376988911;0.65511;0.008612725;20.01081666;291.4;291.4
2020;November;A. hyacinthus;HYA 33;HYAT33;Tiahura;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;5.25;0.137919321;0.6522;0.012082168;10.41180187;292;292
2020;November;A. retusa;RET 28;RETE28;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.59872;0.006534448;;293.7;293.7
2020;November;A. hyacinthus;HYA 10;HYAL10;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.125;0.360215817;;;;300;300
2020;November;A. hyacinthus;HYA 624;HYAE624;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;V;303.8;303.8
2020;November;A. hyacinthus;HYA 624;HYAE624;E2B;Wild;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;4.708333333;0.244350416;0.64991;0.007013801;10.84310688;303.8;303.8
2020;November;A. nasuta;NAS 609;NASE609;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.291666667;0.127392562;0.66208;0.008643723;25.29950145;308.7;308.7
2020;October;A. cytherea;8_2.1;CYT8;Nursery;Nursery;01/10/2020;;;N;12/10/2020;11;17:57:00;;;;;0.65027;0.007700652;;322.2;322.2
2020;November;A. hyacinthus;HYA 9;HYAL9;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.791666667;0.208333333;0.64316;0.008819198;26.01054482;324.7;324.7
2020;November;A. retusa;Aret 1.5;RET1;Nursery;Nursery;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.291666667;0.309740229;0.66359;0.007747596;44.77858559;326.8;326.8
2020;October;A. cytherea;8_3.5;CYT8;Nursery;Nursery;01/10/2020;;;N;13/10/2020;12;17:57:00;;;5.875;0.39614309;;;23.0699246;334.5;334.5
2020;November;A. hyacinthus;HYA 620;HYAE620;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;335.1;335.1
2020;November;A. hyacinthus;HYA 620;HYAE620;E2B;Wild;31/10/2020;30/10/2020;;Y;12/11/2020;12;18:09:00;;;4.916666667;0.179740823;0.6208;0.004095518;8.366396412;335.1;335.1
2020;November;A. hyacinthus;HYA 7;HYAL7;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;7.916666667;0.318511029;;;;394;394
2020;October;A. cytherea;7_3.1;CYT7;Nursery;Nursery;01/10/2020;;;Y;10/10/2020;9;17:57:00;;;5.5;0.214707454;;;83.14829805;405;405
2020;October;A. cytherea;7_3.1;CYT7;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;;;;;42.37715405;405;405
2020;November;A. hyacinthus;HYA 625;HYAE625;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;V;426.1;426.1
2020;November;A. hyacinthus;HYA 625;HYAE625;E2B;Wild;31/10/2020;30/10/2020;;Y;10/11/2020;10;18:08:00;;;8.583333333;0.380296731;0.63179;0.005256504;12.78737587;426.1;426.1
2020;October;A. cytherea;7_2.6;CYT7;Nursery;Nursery;01/10/2020;;;Y;10/10/2020;9;17:57:00;;;5.395833333;0.207867387;;;16.86706555;454.5;454.5
2020;October;A. cytherea;7_2.6;CYT7;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;;;;;11.60601407;454.5;454.5
2020;November;A. hyacinthus;HYA 13;HYAL13;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;6.666666667;0.286575651;;;;455.6;455.6
2020;November;A. retusa;RET 19;RETE19;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;;;0.60344;0.003428739;51.16133972;499.5;499.5
2021;September;A. cytherea;20.5;CYT3;Nursery;Nursery;20/09/2021;24/09/2021;;Y;28/09/2021;8;17:55:00;22:00:00;04:05:00;5.391304348;0.318960332;0.72944;0.008863208;52.31413097;562.1;562.1
2021;September;A. cytherea;20.5;CYT3;Nursery;Nursery;20/09/2021;24/09/2021;;Y;29/09/2021;9;17:55:00;22:06:00;04:11:00;;;;;;562.1;562.1
2020;November;A. hyacinthus;HYA 15;HYAL15;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;8;0.25;;;85.99530771;593.6;593.6
2020;November;A. hyacinthus;HYA 622;HYAE622;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;V;625.7;625.7
2020;November;A. hyacinthus;HYA 622;HYAE622;E2B;Wild;31/10/2020;30/10/2020;;Y;12/11/2020;12;18:09:00;;;5.333333333;0.205597985;0.60391;0.004352918;51.09941158;625.7;625.7
2021;September;A. cytherea;5.1.6;CYT5;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;22:09:00;04:14:00;6.791666667;0.329575741;0.57747;0.005226178;37.2118551;677.3;677.3
2020;November;A. hyacinthus;HYA 8;HYAL8;Linareva;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;4.208333333;0.134314776;0.6868;0.005319563;47.26224784;772.9;772.9
2021;September;A. cytherea;3.6;CYT3;Nursery;Nursery;20/09/2021;24/09/2021;;N;29/09/2021;9;17:55:00;21:59:00;04:04:00;7.136363636;0.362145211;0.62116;0.007072748;59.58044139;840.2;840.2
2020;November;A. hyacinthus;HYA 626;HYAE626;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;5.583333333;0.207789144;0.62592;0.005850874;10.42005861;856.1;856.1
2020;November;A. hyacinthus;HYA 626;HYAE626;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;V;856.1;856.1
2020;October;A. cytherea;19;CytL19.20;Linareva;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;8.083333333;0.437866479;0.63612;0.010001006;;;1000
2020;October;A. cytherea;23;CYTS23;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;8.166666667;0.38854367;0.65442;0.012329154;16.19024129;;1000
2020;October;A. cytherea;25;CYTS25;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;5.958333333;0.244350416;0.60314;0.009945977;2.535358772;;1000
2020;October;A. cytherea;26;CYTS26;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;6.375;0.239356777;0.61419;0.007633785;8.876737921;;1000
2020;October;A. cytherea;27;CYTS27;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;8.291666667;0.410369075;0.61839;0.006184449;35.68943178;;1000
2020;October;A. cytherea;28;CYTS28;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;6.166666667;0.428456391;0.67969;0.010021741;8.104739006;;1000
2020;October;A. cytherea;29;CYTS29;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;8;0.450442616;0.5274;0.006266643;46.87687799;;1000
2020;October;A. cytherea;30;CYTS30;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;8.304347826;0.496767347;0.67862;0.007258233;8.921854622;;1000
2020;October;A. cytherea;31;CYTS31;Sofitel;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;6.458333333;0.240614903;0.62411;0.009765425;12.84307038;;1000
2020;October;A. cytherea;20;CytL20.20;Linareva;Wild;01/10/2020;;;N;09/10/2020;8;17:57:00;;;6.041666667;0.419105183;0.66746;0.009746887;;;1000
2020;October;A. cytherea;14;CytL14.20;Linareva;Wild;01/10/2020;;;N;14/10/2020;13;17:57:00;;;5.304347826;0.437540659;0.652516667;0.015231838;11.66000784;;1000
2020;October;A. cytherea;17;CytL17.20;Linareva;Wild;01/10/2020;;;N;14/10/2020;13;17:57:00;;;10.43478261;0.448211584;0.67271;0.007465514;27.45724814;;1000
2021;September;A. cytherea;70;CYTS70;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;21:51:00;03:57:00;;;;;;;1000
2021;September;A. cytherea;71;CYTS71;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;21:48:00;03:54:00;;;;;;;1000
2021;September;A. cytherea;72;CYTS72;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;22:10:00;04:16:00;;;;;;;1000
2021;September;A. cytherea;73;CYTS73;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;21:50:00;03:56:00;;;;;;;1000
2021;September;A. cytherea;74;CYTS74;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;21:50:00;03:56:00;;;;;;;1000
2021;September;A. cytherea;75;CYTS75;Sofitel;Wild;20/09/2021;22/09/2021;16:00:00;N;23/09/2021;3;17:54:00;21:54:00;04:00:00;;;;;;;1000
